"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-1-000001,시청 앞 공영주차장,공영,노상,제주특별자치도 제주시 광양9길 10,,46,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.50021259,126.5322178,2021-08-18
405-1-000002,신제주로터리,공영,노상,,제주특별자치도 제주시 연동 301,41,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,60,500,,,,,,제주특별자치도 제주시,,33.47686272,126.493744,2021-08-18
405-1-000003,탑동입구 공영주차장,공영,노상,제주특별자치도 제주시 중앙로 21,,9,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51636686,126.5249925,2021-08-18
405-1-000004,동문재래시장(노상) 공영주차장,공영,노상,,제주특별자치도 제주시 이도일동 1491-1,91,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51097374,126.5233644,2021-08-18
405-1-000005,도청서측,공영,노상,제주특별자치도 제주시 문연로 6,,29,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48822072,126.4977225,2021-08-18
405-1-000006,노형오거리,공영,노상,,제주특별자치도 제주시 노형동 1297-5,102,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.4879049,126.4772014,2021-08-18
405-2-000007,고산동산주차장,공영,노외,,제주특별자치도 제주시 이도이동 1012-10,50,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49567047,126.5314148,2021-08-18
405-2-000008,공항입구주차장,공영,노외,,제주특별자치도 제주시 용담이동 1611,260,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.50368126,126.4957122,2021-08-18
405-2-000009,광양초 서측 주차장,공영,노외,,제주특별자치도 제주시 이도일동 1257-4,45,1,미시행,평일,08:30,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.50242077,126.5289226,2021-08-18
405-2-000010,동문주차빌딩,공영,노외,,제주특별자치도 제주시 일도일동 1106,275,1,미시행,평일,09:00,22:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51155034,126.5286391,2021-08-18
